id,change,artist,event,venue,city,event_time,public_start,presale_start,presale_end,url
G5vYZbVVufH0A,CHANGED:presale_start,Life in the Fast Lane,The Ultimate Eagles Tribute Concert,Historic BAL Theatre,San Leandro,2025-11-22T03:00:00Z,2025-10-14T17:00:00Z,,,https://www.ticketmaster.com/the-ultimate-eagles-tribute-concert-san-leandro-california-11-21-2025/event/1C00634D0D53C905
G5vYZbVVufH0A,CHANGED:presale_end,Life in the Fast Lane,The Ultimate Eagles Tribute Concert,Historic BAL Theatre,San Leandro,2025-11-22T03:00:00Z,2025-10-14T17:00:00Z,,,https://www.ticketmaster.com/the-ultimate-eagles-tribute-concert-san-leandro-california-11-21-2025/event/1C00634D0D53C905
vv17FZbgGkmz9tP3,CHANGED:presale_start,The Spinners,The Spinners Ticket + Hotel Deals,Tropicana Showroom at Tropicana Atlantic City,Atlantic City,2026-04-23T19:30:00Z,2025-08-11T13:00:00Z,,,https://travel.ticketmaster.com/event/10299247?_uid=01e06df2-8b31-4246-b25c-04d738f89509&utm_source=Caesars_TM&utm_medium=TM_ADP_TheSpinners
vv17FZbgGkmz9tP3,CHANGED:presale_end,The Spinners,The Spinners Ticket + Hotel Deals,Tropicana Showroom at Tropicana Atlantic City,Atlantic City,2026-04-23T19:30:00Z,2025-08-11T13:00:00Z,,,https://travel.ticketmaster.com/event/10299247?_uid=01e06df2-8b31-4246-b25c-04d738f89509&utm_source=Caesars_TM&utm_medium=TM_ADP_TheSpinners
vv1AeZkG6GkdZg7PN,CHANGED:presale_start,The Spinners,The Spinners,Tropicana Showroom at Tropicana Atlantic City,Atlantic City,2026-04-23T19:30:00Z,2025-08-11T13:00:00Z,,,https://www.ticketmaster.com/the-spinners-atlantic-city-new-jersey-04-23-2026/event/02006307C0D44963
vv1AeZkG6GkdZg7PN,CHANGED:presale_end,The Spinners,The Spinners,Tropicana Showroom at Tropicana Atlantic City,Atlantic City,2026-04-23T19:30:00Z,2025-08-11T13:00:00Z,,,https://www.ticketmaster.com/the-spinners-atlantic-city-new-jersey-04-23-2026/event/02006307C0D44963
Z7r9jZ1A7_MvO,CHANGED:presale_start,Lady A,Lady A,Texas Trust CU Theatre,Grand Prairie,2025-12-11T02:00:00Z,1900-01-01T18:00:00Z,,,https://www.ticketmaster.com/event/Z7r9jZ1A7_MvO
Z7r9jZ1A7_MvO,CHANGED:presale_end,Lady A,Lady A,Texas Trust CU Theatre,Grand Prairie,2025-12-11T02:00:00Z,1900-01-01T18:00:00Z,,,https://www.ticketmaster.com/event/Z7r9jZ1A7_MvO
Z7r9jZ1A7_ajI,CHANGED:presale_start,Lady A,Lady A,Ryman Auditorium,Nashville,2025-12-22T01:30:00Z,1900-01-01T06:00:00Z,,,https://www.ticketmaster.com/event/Z7r9jZ1A7_ajI
Z7r9jZ1A7_ajI,CHANGED:presale_end,Lady A,Lady A,Ryman Auditorium,Nashville,2025-12-22T01:30:00Z,1900-01-01T06:00:00Z,,,https://www.ticketmaster.com/event/Z7r9jZ1A7_ajI
Z7r9jZ1A7_ajE,CHANGED:presale_start,Lady A,Lady A,Ryman Auditorium,Nashville,2025-12-23T01:30:00Z,1900-01-01T06:00:00Z,,,https://www.ticketmaster.com/event/Z7r9jZ1A7_ajE
Z7r9jZ1A7_ajE,CHANGED:presale_end,Lady A,Lady A,Ryman Auditorium,Nashville,2025-12-23T01:30:00Z,1900-01-01T06:00:00Z,,,https://www.ticketmaster.com/event/Z7r9jZ1A7_ajE
Z7r9jZ1A7_ajt,CHANGED:presale_start,Lady A,Lady A,Ryman Auditorium,Nashville,2025-12-23T21:00:00Z,1900-01-01T06:00:00Z,,,https://www.ticketmaster.com/event/Z7r9jZ1A7_ajt
Z7r9jZ1A7_ajt,CHANGED:presale_end,Lady A,Lady A,Ryman Auditorium,Nashville,2025-12-23T21:00:00Z,1900-01-01T06:00:00Z,,,https://www.ticketmaster.com/event/Z7r9jZ1A7_ajt
Z7r9jZ1A7QpAI,CHANGED:presale_start,Imani Winds,Imani Winds,Ruby Diamond Auditorium,Tallahassee,2026-02-04T00:30:00Z,1900-01-01T06:00:00Z,,,https://www.ticketmaster.com/event/Z7r9jZ1A7QpAI
Z7r9jZ1A7QpAI,CHANGED:presale_end,Imani Winds,Imani Winds,Ruby Diamond Auditorium,Tallahassee,2026-02-04T00:30:00Z,1900-01-01T06:00:00Z,,,https://www.ticketmaster.com/event/Z7r9jZ1A7QpAI
Z7r9jZ1A7_EAK,CHANGED:presale_start,Reno Philharmonic Orchestra,Mendelssohn Violin Concert Presented by Reno Philharmonic Orchestra,Pioneer Center for the Performing Arts,Reno,2026-03-22T02:30:00Z,1900-01-01T18:00:00Z,,,https://www.ticketmaster.com/event/Z7r9jZ1A7_EAK
Z7r9jZ1A7_EAK,CHANGED:presale_end,Reno Philharmonic Orchestra,Mendelssohn Violin Concert Presented by Reno Philharmonic Orchestra,Pioneer Center for the Performing Arts,Reno,2026-03-22T02:30:00Z,1900-01-01T18:00:00Z,,,https://www.ticketmaster.com/event/Z7r9jZ1A7_EAK
Z7r9jZ1A7_EAf,CHANGED:presale_start,Reno Philharmonic Orchestra,Mendelssohn Violin Concert Presented by Reno Philharmonic Orchestra,Pioneer Center for the Performing Arts,Reno,2026-03-22T23:00:00Z,1900-01-01T18:00:00Z,,,https://www.ticketmaster.com/event/Z7r9jZ1A7_EAf
Z7r9jZ1A7_EAf,CHANGED:presale_end,Reno Philharmonic Orchestra,Mendelssohn Violin Concert Presented by Reno Philharmonic Orchestra,Pioneer Center for the Performing Arts,Reno,2026-03-22T23:00:00Z,1900-01-01T18:00:00Z,,,https://www.ticketmaster.com/event/Z7r9jZ1A7_EAf
vvG1HZbiEzjVFb,CHANGED:presale_start,CoComelon,CoComelon: Sing-A-Long LIVE,Moore Theatre,Seattle,2025-11-20T02:00:00Z,2025-06-17T19:00:00Z,,,https://www.ticketmaster.com/cocomelon-singalong-live-seattle-washington-11-19-2025/event/0F0062C9F8734218
vvG1HZbiEzjVFb,CHANGED:presale_end,CoComelon,CoComelon: Sing-A-Long LIVE,Moore Theatre,Seattle,2025-11-20T02:00:00Z,2025-06-17T19:00:00Z,,,https://www.ticketmaster.com/cocomelon-singalong-live-seattle-washington-11-19-2025/event/0F0062C9F8734218
1778vxG6uA7LMrN,CHANGED:presale_start,CoComelon,CoComelon: Sing-A-Long LIVE!,Rogers Forum,Abbotsford,2025-11-22T02:00:00Z,2025-06-20T19:00:00Z,,,https://www.ticketmaster.ca/cocomelon-singalong-live-abbotsford-british-columbia-11-21-2025/event/110062D1447F77A3
1778vxG6uA7LMrN,CHANGED:presale_end,CoComelon,CoComelon: Sing-A-Long LIVE!,Rogers Forum,Abbotsford,2025-11-22T02:00:00Z,2025-06-20T19:00:00Z,,,https://www.ticketmaster.ca/cocomelon-singalong-live-abbotsford-british-columbia-11-21-2025/event/110062D1447F77A3
Z7r9jZ1A7pkZz,CHANGED:presale_start,Koo Koo,Koo Koo,Grewal Hall,Lansing,2025-11-22T18:00:00Z,1900-01-01T18:00:00Z,,,https://www.ticketmaster.com/event/Z7r9jZ1A7pkZz
Z7r9jZ1A7pkZz,CHANGED:presale_end,Koo Koo,Koo Koo,Grewal Hall,Lansing,2025-11-22T18:00:00Z,1900-01-01T18:00:00Z,,,https://www.ticketmaster.com/event/Z7r9jZ1A7pkZz
vv17jZbwGkmwLN84,CHANGED:presale_start,MadFiddle,MadFiddle & Highway 151,High Noon Saloon,Madison,2025-11-23T17:00:00Z,2025-09-15T15:00:00Z,,,https://www.ticketmaster.com/madfiddle-highway-151-madison-wisconsin-11-23-2025/event/0700632BB27E3415
