id,name,artist,event_local_date,event_local_time,venue,city,country,url
1AyZkkAGkemAoaJ,MJ LIVE Ticket + Hotel Deals,MJ LIVE - Michael Jackson Tribute,2024-12-05,20:00:00,Harrah's Showroom at Harrah's Las Vegas,Las Vegas,United States Of America,https://travel.ticketmaster.com/attraction/825?_uid=2d1a81bc-09c6-45ae-ba80-43c6cfcac5ca&utm_source=Caesars_TM&utm_medium=TM_ADP_MJLive
k7vGFbinMFPq9,MET Live in HD: El Ultimo Sueno De Frida Y Diego,Gabriela Lena Frank,2025-01-01,13:00:00,Ulster Performing Arts Center,Kingston,United States Of America,https://www.ticketmaster.com/met-live-in-hd-el-ultimo-kingston-new-york-01-01-2025/event/000062CAB7225757
G5vYZb9hmjUMe,3rd Thursday Tribute Series Ticket Pass,,2025-01-16,,The Venue at Thunder Valley Casino Resort,Lincoln,United States Of America,https://www.ticketmaster.com/3rd-thursday-tribute-series-ticket-pass-lincoln-california-01-16-2025/event/1C006176EE736DC2
k7vGFbK3iS0VE,Billy Joel & Sting,Billy Joel,2025-04-11,20:00:00,JMA Wireless Dome ,Syracuse,United States Of America,https://www.ticketmaster.com/billy-joel-sting-syracuse-new-york-04-11-2025/event/00006134ACCE4D27
vvG1YZbI2KoVMH,Atif Aslam,Atif Aslam,2025-05-31,19:30:00,Comerica Center,Frisco,United States Of America,https://www.ticketmaster.com/atif-aslam-frisco-texas-05-31-2025/event/0C006283D3474DFC
G5vYZbITmzNHw,Doble R Entertainment Presents: Summer Take Off,Doble R Entertainment,2025-06-26,19:00:00,Ace of Spades,Sacramento,United States Of America,https://www.ticketmaster.com/doble-r-entertainment-presents-summer-take-sacramento-california-06-26-2025/event/1C00628FEEE23F32
G5viZblFk3pMO,"Denim and Diamonds Tour w/ Sir Charles Jones, Jay Morris and Myia B",Sir Charles Jones,2025-06-29,19:00:00,Minglewood Hall,Memphis,United States Of America,https://www.ticketmaster.com/denim-and-diamonds-tour-w-sir-memphis-tennessee-06-29-2025/event/1B0062B206496DE0
1Ad0ZbYGkDbfd1v,Wayne Newton + Hotel Deals,Wayne Newton,2025-08-14,19:00:00,Bugsy's Cabaret at Flamingo,Las Vegas,United States Of America,https://travel.ticketmaster.com/attraction/167?_uid=2d1a81bc-09c6-45ae-ba80-43c6cfcac5ca&utm_source=Caesars_TM&utm_medium=Wayne_Newton_ADP
G5viZbmRJBgQk,Welcome Home Tour: Rio Da Yung Og,Rio Da Yung Og,2025-08-25,20:00:00,Minglewood Hall,Memphis,United States Of America,https://www.ticketmaster.com/welcome-home-tour-rio-da-yung-memphis-tennessee-08-25-2025/event/1B0062EBE6EB5686
1kC8vNaZGACP4av,Donny Osmond Ticket + Hotel Deals,Donny Osmond (Las Vegas),2025-09-05,19:30:00,Harrah's Showroom at Harrah's Las Vegas,Las Vegas,United States Of America,https://travel.ticketmaster.com/attraction/48218?_uid=2d1a81bc-09c6-45ae-ba80-43c6cfcac5ca&utm_source=Caesars_TM&utm_medium=Donny_Osmond_ADP
