id,artist,event,venue,city,event_time,public_start,presale_start,presale_end,url
177ZvxG6CK3I77f,Paul McCartney,PAUL McCARTNEY: GOT BACK,TD Coliseum,Hamilton,2025-11-22T01:00:00Z,2025-07-18T14:00:00Z,2025-07-16T14:00:00Z,2025-07-18T02:00:00Z,https://www.ticketmaster.ca/paul-mccartney-got-back-hamilton-ontario-11-21-2025/event/100062E4D2A04114
vvG18ZbcMARSFw,Paul McCartney,PAUL McCARTNEY: GOT BACK,United Center,Chicago,2025-11-25T02:00:00Z,2025-07-18T15:00:00Z,2025-07-15T15:00:00Z,2025-07-18T03:00:00Z,https://www.ticketmaster.com/paul-mccartney-got-back-chicago-illinois-11-24-2025/event/040062DDC5BF3232
vvG18ZbmOZFxyd,Paul McCartney,PAUL McCARTNEY: GOT BACK,United Center,Chicago,2025-11-26T02:00:00Z,2025-07-18T15:00:00Z,2025-07-15T15:00:00Z,2025-07-18T03:00:00Z,https://www.ticketmaster.com/paul-mccartney-got-back-chicago-illinois-11-25-2025/event/040062E800222E43
1A9ZkGNGkd4B4qR,Eagles,Eagles Live at Sphere,Sphere,Las Vegas,2026-01-24T04:30:00Z,2025-09-19T17:00:00Z,2025-09-17T17:00:00Z,2025-09-19T05:00:00Z,https://www.ticketmaster.com/eagles-live-at-sphere-las-vegas-nevada-01-23-2026/event/17006323D5E9576F
1A9ZkGNGkd4BPqg,Eagles,Eagles Live at Sphere,Sphere,Las Vegas,2026-01-25T04:30:00Z,2025-09-19T17:00:00Z,2025-09-17T17:00:00Z,2025-09-19T05:00:00Z,https://www.ticketmaster.com/eagles-live-at-sphere-las-vegas-nevada-01-24-2026/event/17006323D5EA5775
1A9ZkGNGkd4BPqy,Eagles,Eagles Live at Sphere,Sphere,Las Vegas,2026-01-31T04:30:00Z,2025-09-19T17:00:00Z,2025-09-17T17:00:00Z,2025-09-19T05:00:00Z,https://www.ticketmaster.com/eagles-live-at-sphere-las-vegas-nevada-01-30-2026/event/17006323D5EA5779
1A9ZkGNGkd4BPqH,Eagles,Eagles Live at Sphere,Sphere,Las Vegas,2026-02-01T04:30:00Z,2025-09-19T17:00:00Z,2025-09-17T17:00:00Z,2025-09-19T05:00:00Z,https://www.ticketmaster.com/eagles-live-at-sphere-las-vegas-nevada-01-31-2026/event/17006323D5EA577C
1A9ZkGNGkd4BgrZ,Eagles,Eagles Live at Sphere,Sphere,Las Vegas,2026-02-21T04:30:00Z,2025-10-24T17:00:00Z,2025-10-22T17:00:00Z,2025-10-24T16:59:00Z,https://www.ticketmaster.com/eagles-live-at-sphere-las-vegas-nevada-02-20-2026/event/17006323D5EB5780
1A9ZkGNGkd4Bgr7,Eagles,Eagles Live at Sphere,Sphere,Las Vegas,2026-02-22T04:30:00Z,2025-10-24T17:00:00Z,2025-10-22T17:00:00Z,2025-10-24T16:59:00Z,https://www.ticketmaster.com/eagles-live-at-sphere-las-vegas-nevada-02-21-2026/event/17006323D5EB5784
1A9ZkGNGkd4Bgr6,Eagles,Eagles Live at Sphere,Sphere,Las Vegas,2026-02-28T04:30:00Z,2025-10-24T17:00:00Z,2025-10-22T17:00:00Z,2025-10-24T16:59:00Z,https://www.ticketmaster.com/eagles-live-at-sphere-las-vegas-nevada-02-27-2026/event/17006323D5EB5787
